NAME                    IMAGE                                                                                          COMMAND                  SERVICE        CREATED         STATUS                   PORTS
dropme-alert-sink-1     dropme-alert-sink                                                                              "python /app/app.py"     alert-sink     7 minutes ago   Up 7 minutes (healthy)   9000/tcp
dropme-alertmanager-1   prom/alertmanager@sha256:9e082985f56f4c8c9f724e18f2288c6708f472e56a5286b8863d080434ea065d      "/bin/alertmanager -…"   alertmanager   7 minutes ago   Up 7 minutes             9093/tcp
dropme-api-1            dropme-api                                                                                     "uvicorn dropme.main…"   api            3 minutes ago   Up 3 minutes (healthy)   8000/tcp
dropme-backup-1         postgres:16-bookworm@sha256:64154d0babcb1741988719e703419af0382b19953706149f9872fbd0f438efa8   "docker-entrypoint.s…"   backup         7 minutes ago   Up 7 minutes             5432/tcp
dropme-caddy-1          caddy:2-alpine@sha256:5f5c8640aae01df9654968d946d8f1a56c497f1dd5c5cda4cf95ab7c14d58648         "caddy run --config …"   caddy          7 minutes ago   Up 7 minutes             0.0.0.0:80->80/tcp, [::]:80->80/tcp, 0.0.0.0:443->443/tcp, [::]:443->443/tcp, 443/udp, 2019/tcp
dropme-frontend-1       dropme-frontend                                                                                "/docker-entrypoint.…"   frontend       7 minutes ago   Up 7 minutes (healthy)   8080/tcp
dropme-grafana-1        grafana/grafana@sha256:ab5cb380e3ff3172d6c8bd2e7cfd31cce977d2881b260e1f5bc089bf0b759b43        "/run.sh"                grafana        7 minutes ago   Up 7 minutes             127.0.0.1:3000->3000/tcp
dropme-postgres-1       postgres:16-bookworm@sha256:64154d0babcb1741988719e703419af0382b19953706149f9872fbd0f438efa8   "docker-entrypoint.s…"   postgres       3 minutes ago   Up 3 minutes (healthy)   5432/tcp
dropme-prometheus-1     prom/prometheus@sha256:508729e0e2d18e11fd742a5a5ca70e557b940a93948c3c95fd0123a6fd538b69        "/bin/prometheus --c…"   prometheus     7 minutes ago   Up 7 minutes             9090/tcp
dropme-redis-1          redis:7-alpine@sha256:e7723ff73d963f5cc6d9c4643ea3d989527a402a319239054e9472a7fb9219a2         "docker-entrypoint.s…"   redis          3 minutes ago   Up 3 minutes (healthy)   6379/tcp
dropme-worker-1         dropme-worker                                                                                  "dropme-worker"          worker         3 minutes ago   Up 3 minutes (healthy)   8000/tcp
